year,school,subject,download_url,text_file,method,text_len
114,國立政治大學-資訊管理學系碩士班資管組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99916&iDP=66679&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立政治大學-資訊管理學系碩士班資管組.txt,cached,4837
114,國立政治大學-資訊管理學系碩士班科技組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99918&iDP=65909&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立政治大學-資訊管理學系碩士班科技組.txt,cached,4427
114,國立政治大學-圖書資訊與檔案學研究所圖書資訊學組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99849&iDP=65871&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立政治大學-圖書資訊與檔案學研究所圖書資訊學組.txt,cached,1232
114,國立嘉義大學-資訊管理學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=101022&iDP=66897&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立嘉義大學-資訊管理學系碩士班.txt,cached,1559
114,國立中正大學-資訊管理學系醫療資訊管理碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100503&iDP=66356&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中正大學-資訊管理學系醫療資訊管理碩士班.txt,cached,3602
114,國立中正大學-資訊管理學系碩士班甲組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100503&iDP=66354&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中正大學-資訊管理學系碩士班甲組.txt,cached,3602
114,國立中正大學-資訊管理學系碩士班乙組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100503&iDP=66355&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中正大學-資訊管理學系碩士班乙組.txt,cached,3602
114,國立中正大學-會計與資訊科技學系碩士班資訊組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100501&iDP=66637&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中正大學-會計與資訊科技學系碩士班資訊組.txt,cached,2042
114,國立中央大學-資訊管理學系碩士班甲組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=66275&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中央大學-資訊管理學系碩士班甲組.txt,cached,13884
114,國立中央大學-資訊管理學系碩士班乙組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=66276&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中央大學-資訊管理學系碩士班乙組.txt,cached,13884
114,國立中央大學-網路學習科技研究所,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100332&iDP=66254&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中央大學-網路學習科技研究所.txt,cached,10854
114,國立中央大學-工業管理研究所碩士班大數據組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=67315&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中央大學-工業管理研究所碩士班大數據組.txt,cached,13884
114,國立中央大學-企業管理學系碩士班戊組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=100298&iDP=66272&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/114_國立中央大學-企業管理學系碩士班戊組.txt,cached,13884
113,私立輔仁大學-資訊管理學系碩士班,資訊管理概論,https://master.get.com.tw/exam/Download.ashx?iP=98642&iDP=65197&iS=4622,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_私立輔仁大學-資訊管理學系碩士班.txt,ocr,4084
113,私立東吳大學-資訊管理學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99203&iDP=65664&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_私立東吳大學-資訊管理學系碩士班.txt,cached,3045
113,私立東吳大學-資料科學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99205&iDP=65721&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_私立東吳大學-資料科學系碩士班.txt,cached,2261
113,國立高雄科技大學（第一校區）-資訊管理系電子商務碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99093&iDP=65702&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立高雄科技大學_第一校區_-資訊管理系電子商務碩士班.txt,cached,969
113,國立高雄科技大學（第一校區）-資訊管理系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99093&iDP=65703&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立高雄科技大學_第一校區_-資訊管理系碩士班.txt,cached,969
113,國立高雄科技大學（建工校區）-電子工程系碩士班（丙組）,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99107&iDP=65701&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立高雄科技大學_建工校區_-電子工程系碩士班_丙組.txt,cached,1531
113,國立雲林科技大學-資訊管理研究所,計算機概論（2）,https://master.get.com.tw/exam/Download.ashx?iP=98369&iDP=65101&iS=5062,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立雲林科技大學-資訊管理研究所.txt,ocr,12379
113,國立臺灣師範大學-科技應用與人力資源發展學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=98494&iDP=65161&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立臺灣師範大學-科技應用與人力資源發展學系碩士班.txt,ocr,2209
113,國立臺灣師範大學-圖書資訊學研究所,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=98441&iDP=65145&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立臺灣師範大學-圖書資訊學研究所.txt,ocr,3651
113,國立臺北科技大學-電子工程研究所甲組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=98392&iDP=65113&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立臺北科技大學-電子工程研究所甲組.txt,ocr,3844
113,國立臺北科技大學-資訊工程研究所,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=98396&iDP=65117&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立臺北科技大學-資訊工程研究所.txt,ocr,20439
113,國立臺北科技大學-經營管理系研究所不分組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=98421&iDP=65130&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立臺北科技大學-經營管理系研究所不分組.txt,ocr,2455
113,國立臺北教育大學-資訊科學碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=98593&iDP=65226&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立臺北教育大學-資訊科學碩士班.txt,ocr,2062
113,國立嘉義大學-資訊管理學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=99071&iDP=65690&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/113_國立嘉義大學-資訊管理學系碩士班.txt,cached,2549
111,國立臺北大學-資訊管理學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92255&iDP=70200&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立臺北大學-資訊管理學系碩士班.txt,ocr,2462
111,國立成功大學-資訊管理研究所甲組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92393&iDP=69597&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立成功大學-資訊管理研究所甲組.txt,ocr,8006
111,國立成功大學-資訊管理研究所乙組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92395&iDP=69598&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立成功大學-資訊管理研究所乙組.txt,ocr,8006
111,國立成功大學-會計學研究所乙組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92400&iDP=69600&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立成功大學-會計學研究所乙組.txt,ocr,3698
111,國立成功大學-數據科學研究所,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92422&iDP=71039&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立成功大學-數據科學研究所.txt,ocr,3456
111,國立中正大學-資訊管理學系醫療資訊管理碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92508&iDP=69817&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立中正大學-資訊管理學系醫療資訊管理碩士班.txt,ocr,4797
111,國立中正大學-資訊管理學系碩士班甲組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92510&iDP=69815&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立中正大學-資訊管理學系碩士班甲組.txt,ocr,4797
111,國立中正大學-資訊管理學系碩士班乙組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92511&iDP=69816&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立中正大學-資訊管理學系碩士班乙組.txt,ocr,4797
111,國立中正大學-資訊工程學系碩士班乙組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92463&iDP=71350&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立中正大學-資訊工程學系碩士班乙組.txt,ocr,7089
111,國立中正大學-會計與資訊科技學系碩士班會計組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=92507&iDP=70279&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/111_國立中正大學-會計與資訊科技學系碩士班會計組.txt,ocr,4414
108,私立輔仁大學-應用統計研究所,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=85901&iDP=56648&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_私立輔仁大學-應用統計研究所.txt,ocr,7416
108,私立元智大學-資訊工程學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=87033&iDP=56687&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_私立元智大學-資訊工程學系碩士班.txt,ocr,6083
108,私立元智大學-工業工程與管理學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=87026&iDP=56680&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_私立元智大學-工業工程與管理學系碩士班.txt,ocr,840
108,國立臺灣師範大學-科技應用與人力資源發展學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=86780&iDP=56766&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_國立臺灣師範大學-科技應用與人力資源發展學系碩士班.txt,ocr,1015
108,國立臺灣師範大學-圖書資訊學研究所,電子計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=86726&iDP=56744&iS=3037,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_國立臺灣師範大學-圖書資訊學研究所.txt,ocr,2664
108,國立臺北教育大學-資訊科學碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=86641&iDP=56817&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_國立臺北教育大學-資訊科學碩士班.txt,ocr,2074
108,國立臺北商業大學-資訊與決策科學研究所碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=86587&iDP=56992&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_國立臺北商業大學-資訊與決策科學研究所碩士班.txt,ocr,7693
108,國立宜蘭大學-電子工程學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=86839&iDP=56509&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/108_國立宜蘭大學-電子工程學系碩士班.txt,pdf,4778
107,私立淡江大學-資訊工程學系碩士班B組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=82060&iDP=48659&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_私立淡江大學-資訊工程學系碩士班B組.txt,ocr,1547
107,私立淡江大學-資訊工程學系碩士班A組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=82060&iDP=48658&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_私立淡江大學-資訊工程學系碩士班A組.txt,ocr,1547
107,私立中國文化大學-資訊工程學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=82104&iDP=54575&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_私立中國文化大學-資訊工程學系碩士班.txt,pdf,4341
107,國立雲林科技大學-電子工程研究所,計算機概論（1）,https://master.get.com.tw/exam/Download.ashx?iP=82206&iDP=50616&iS=5059,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_國立雲林科技大學-電子工程研究所.txt,ocr,1824
107,國立雲林科技大學-資訊工程研究所,計算機概論（2）,https://master.get.com.tw/exam/Download.ashx?iP=82209&iDP=49428&iS=5062,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_國立雲林科技大學-資訊工程研究所.txt,ocr,4249
107,國立臺北教育大學-資訊科學碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=82200&iDP=49263&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_國立臺北教育大學-資訊科學碩士班.txt,ocr,1355
107,國立彰化師範大學-資訊管理學系碩士班,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=82125&iDP=49225&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_國立彰化師範大學-資訊管理學系碩士班.txt,pdf,2226
107,國立彰化師範大學-數位內容科技與管理研究所,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=82132&iDP=50577&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_國立彰化師範大學-數位內容科技與管理研究所.txt,pdf,1661
107,國立交通大學-資訊學院碩士在職專班資訊組,計算機概論,https://master.get.com.tw/exam/Download.ashx?iP=81969&iDP=48053&iS=3086,/Users/miiduoa/Desktop/Work_2026_02_02/CS_Textbook/exams/texts_computer_concepts/107_國立交通大學-資訊學院碩士在職專班資訊組.txt,ocr,2041
