year,school,subject,download_url
113,"國立臺北教育大學-資訊科學碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98593&iDP=65226&iS=3086"
113,"國立臺北教育大學-數學暨資訊教育學系人工智慧與資訊教育碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98592&iDP=65296&iS=3086"
113,"國立臺灣師範大學-科技應用與人力資源發展學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98494&iDP=65161&iS=3086"
113,"國立臺灣師範大學-圖書資訊學研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98441&iDP=65145&iS=3086"
113,"國立臺北科技大學-經營管理系研究所不分組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98421&iDP=65130&iS=3086"
113,"國立臺北科技大學-資訊工程研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98396&iDP=65117&iS=3086"
113,"國立臺北科技大學-電子工程研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98392&iDP=65113&iS=3086"
113,"國立雲林科技大學-資訊管理研究所",計算機概論（2）,"https://master.get.com.tw/exam/Download.ashx?iP=98369&iDP=65101&iS=5062"
113,"國立雲林科技大學-資訊工程研究所乙組",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=98362&iDP=65098&iS=5059"
113,"國立雲林科技大學-資訊工程研究所甲組",計算機概論（1）,"https://master.get.com.tw/exam/Download.ashx?iP=98362&iDP=65097&iS=5059"
113,"國立雲林科技大學-電子工程研究所甲組",計算機概論（3）,"https://master.get.com.tw/exam/Download.ashx?iP=98352&iDP=65092&iS=5077"
113,"國立中正大學-會計與資訊科技學系碩士班資訊組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98246&iDP=65085&iS=3086"
113,"國立中央大學-工業管理研究所碩士班大數據組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98017&iDP=65057&iS=3086"
113,"國立中央大學-企業管理學系碩士班己組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98017&iDP=65075&iS=3086"
113,"國立中央大學-企業管理學系碩士班戊組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98017&iDP=65074&iS=3086"
113,"國立中正大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98248&iDP=73092&iS=3086"
113,"國立中正大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98248&iDP=73091&iS=3086"
113,"國立中正大學-資訊管理學系醫療資訊管理碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98248&iDP=73093&iS=3086"
113,"國立中央大學-網路學習科技研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98059&iDP=72999&iS=3086"
113,"國立中央大學-資訊管理學系碩士班乙組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98017&iDP=73018&iS=3086"
113,"國立中央大學-資訊管理學系碩士班甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=98017&iDP=73017&iS=3086"
113,"國立臺北大學-資訊管理學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=97967&iDP=73149&iS=3086"
113,"國立政治大學-資訊管理學系碩士班科技組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=97559&iDP=72656&iS=3086"
113,"國立政治大學-資訊管理學系碩士班資管組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=97557&iDP=73217&iS=3086"
113,"國立政治大學-圖書資訊與檔案學研究所圖書資訊學組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=97489&iDP=72618&iS=3086"
113,"國立臺灣大學-圖書資訊系碩士班乙組",電子計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96853&iDP=65038&iS=3037"
113,"國立臺灣大學-生醫電子與資訊學研究所丙組",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=97334&iDP=72826&iS=3272"
113,"國立臺灣大學-生物機電系碩士班丁組",計算機概論（A）,"https://master.get.com.tw/exam/Download.ashx?iP=97216&iDP=72767&iS=3368"
113,"國立臺灣大學-地質科學系及海洋研究所聯合招生",計算機概論（B）,"https://master.get.com.tw/exam/Download.ashx?iP=96902&iDP=73339&iS=3272"
112,"國立臺灣師範大學-科技應用與人力資源發展學系碩士班",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96737&iDP=65007&iS=3086"
112,"國立臺灣師範大學-圖書資訊學研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96682&iDP=64988&iS=3086"
112,"國立臺北科技大學-經營管理系研究所不分組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96619&iDP=64944&iS=3086"
112,"國立臺北科技大學-資訊工程研究所",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96590&iDP=64931&iS=3086"
112,"國立臺北科技大學-電子工程研究所甲組",計算機概論,"https://master.get.com.tw/exam/Download.ashx?iP=96586&iDP=64957&iS=3086"
112,"國立雲林科技大學-企業管理研究所企業管理組甲組",計算機概論（2）,"https://master.get.com.tw/exam/Download.ashx?iP=96553&iDP=64906&iS=5062"
112,"國立雲林科技大學-國際人工智慧管理研究所甲組",計算機概論（3）,"https://master.get.com.tw/exam/Download.ashx?iP=96546&iDP=64905&iS=5077"
